鄉鎮市區,交易標的,土地位置建物門牌,土地面積平方公尺,都市土地使用分區,非都市土地使用分區,非都市土地使用編定,租賃年月日,租賃筆棟數,租賃層次,總樓層數,建物型態,主要用途,主要建材,建築完成年月,建物總面積平方公尺,建物現況格局-房,建物現況格局-廳,建物現況格局-衛,建物現況格局-隔間,有無管理組織,有無附傢俱,總額元,單價元平方公尺,車位類別,車位面積平方公尺,車位總額元,備註,編號,出租型態,有無管理員,租賃期間,有無電梯,附屬設備,租賃住宅服務,城市,坪數,每坪租金,交易年,建築年,屋齡,樓層
板橋區,租賃房屋,新北市板橋區香社一路６６號九樓,0.0,,,,1141127,土地0建物1車位0,九層,15.0,住宅大樓(11層含以上有電梯),集合住宅,鋼筋混凝土造,1130806.0,65.65,2,1,1,有,有,有,25000,381.0,,0.0,0,管理費每個月1500元不包含在租金內多人共同承租2；,RPRQMLTJKIKGFAF68CC,整棟(戶)出租,有,1141210~1151209,有,冷氣、熱水器、瓦斯或天然氣,社會住宅代管,新北市,19.859125000000002,1258.8671454558041,114,113.0,1.0,9.0
土城區,租賃房屋,新北市土城區延安街３７巷３號五樓,0.0,,,,1141126,土地0建物1車位0,五層,5.0,公寓(5樓含以下無電梯),住家用,鋼筋混凝土造,740819.0,90.45,3,2,2,有,無,有,19900,220.0,,0.0,0,,RPSQMLTJKIKGFAF78CC,整棟(戶)出租,無,1141201~1151130,無,冷氣、熱水器,社會住宅包租轉租,新北市,27.361125,727.3092754775251,114,74.0,40.0,5.0
板橋區,租賃房屋,新北市板橋區互助街５１巷１號四樓,0.0,,,,1141122,土地0建物1車位0,四層,5.0,公寓(5樓含以下無電梯),住家用,鋼筋混凝土造,,97.76,3,2,1,有,無,有,21000,215.0,,0.0,0,,RPXQMLTJKIKGFAF66CC,整棟(戶)出租,無,1141125~1151124,無,冷氣、熱水器、洗衣機、電視機、冰箱、瓦斯或天然氣,社會住宅代管,新北市,29.572400000000002,710.1215998701491,114,,,4.0
泰山區,租賃房屋,新北市泰山區美寧街５７巷３５弄１５號２樓,0.0,,,,1141126,土地0建物0車位0,二層,5.0,華廈(10層含以下有電梯),工業用,鋼筋混凝土造,800628.0,16.52,4,1,2,有,有,有,6500,393.0,,0.0,0,租金總額含管理費；水費；網路費；含增建或未登記建物；租賃建物部分範圍，且未計入共有部分面積；,RPPNMLTJKIKGFBF28CC,分租雅房,有,1141201~1151130,有,冷氣、熱水器、洗衣機、電視機、冰箱、瓦斯或天然氣、網路,,新北市,4.9973,1300.7023792848138,114,80.0,34.0,2.0
新莊區,租賃房屋,新北市新莊區中正路１５３之２號二樓,0.0,,,,1141124,土地0建物1車位0,二層,5.0,公寓(5樓含以下無電梯),住家用,鋼筋混凝土造,670308.0,78.6,3,2,1,有,無,無,15000,191.0,,0.0,0,,RPOOMLTJKIKGFBF28CC,整棟(戶)出租,無,1141201~1151130,無,冷氣、熱水器、瓦斯或天然氣,,新北市,23.7765,630.8750236578135,114,67.0,47.0,2.0
新莊區,租賃房屋,新北市新莊區昌盛街３５巷２弄８號,0.0,,,,1141127,土地0建物1車位0,一層,4.0,公寓(5樓含以下無電梯),住家用,加強磚造,660202.0,69.62,2,2,1,有,無,無,23000,330.0,,0.0,0,,RPPOMLTJKIKGFBF38CC,整棟(戶)出租,無,1141205~1151204,無,冷氣、熱水器、瓦斯或天然氣,社會住宅代管,新北市,21.06005,1092.1151659184095,114,66.0,48.0,1.0
五股區,租賃房屋+車位,新北市五股區凌雲路一段１３３巷３１號二樓,0.0,,,,1141124,土地0建物1車位1,二層,11.0,住宅大樓(11層含以上有電梯),集合住宅,鋼筋混凝土造,1020114.0,156.53,3,2,2,有,有,有,27200,187.0,坡道平面,26.8,3000,謄本有兩個汽車位，只出租一個車位。管理費2800元，水電費 瓦斯費 由承租人負擔,RPQOMLTJKIKGFBF48CC,整棟(戶)出租,有,1141201~1151130,有,冷氣、熱水器、洗衣機、瓦斯或天然氣,社會住宅代管,新北市,47.350325,574.4416748987468,114,102.0,12.0,2.0
新店區,租賃房屋,新北市新店區松林路５３-１號地下三層,0.0,,,,1141126,土地0建物1車位0,地下三層,9.0,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,740114.0,48.83,1,1,1,有,有,有,7500,154.0,,0.0,0,續租案件；,RPPNMLTJKIKGFCF38CC,獨立套房,有,1141220~1151219,有,冷氣、熱水器,社會住宅代管,新北市,14.771075,507.7490974759792,114,74.0,40.0,-1.0
深坑區,租賃房屋,新北市深坑區雲鄉路１３號,0.0,,,,1141121,土地0建物1車位0,全,3.0,透天厝,住家用,鋼筋混凝土造,,187.24,3,1,3,有,無,無,20000,107.0,,0.0,0,此為新北市社會住宅包租代管計畫之物件,RPUNMLTJKIKGFCF88CC,整棟(戶)出租,無,1141125~1151124,無,熱水器,社會住宅代管,新北市,56.640100000000004,353.1067212098848,114,,,1.0
淡水區,租賃房屋+車位,新北市淡水區新市五路三段１８０號十四樓,0.0,,,,1141122,土地0建物1車位1,十四層,27.0,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1061229.0,106.23,2,1,1,有,有,有,16000,151.0,坡道機械,15.42,0,管理費2000元由出租人負擔，水電費 瓦斯費 由承租人負擔車位租金為0元續租案件；,RPPOMLTJKIKGFEF68CC,整棟(戶)出租,有,1141125~1151124,有,冷氣、熱水器、洗衣機、電視機、冰箱、瓦斯或天然氣,社會住宅代管,新北市,32.134575,497.90607157555377,114,106.0,8.0,14.0
